foodid;foodname;energia_laskennallinen;rasva;hiilihydraatti_imeytyvä;hiilihydraatti_erotuksena;proteiini;alkoholi;tuhka;vesi
34841;JUUSTO, POLAR 15 % RASVAA, VÄHEMMÄN SUOLAA, VALIO;1085.59000;15.00000;0.00000;1.48000;30.00000;0.00000;3.52000;50.00000
33711;KARJALANPIIRAKKA, VUOKSEN RIISIPIIRAKKA, FAZER;925.72000;7.13900;33.75100;36.44400;3.91000;0.00000;1.41500;50.99000
35592;MARJA-ARONIA;234.65000;0.63000;5.85000;14.05000;0.40000;0.00000;0.40000;84.52000
29055;NUUDELI, RIISINUUDELI;1479.88000;0.56000;81.64000;83.24000;3.44000;0.00000;0.85000;11.91000
951;TOM COLLINS GINIDRINKKI;200.83000;0.00000;3.10900;3.45300;0.02000;4.95000;0.23700;91.34000
28920;KIRSIKKA, PUNNITTU KIVINEEN;214.84000;0.18200;10.37400;14.21400;0.80000;0.00000;0.45500;75.35000
29007;SEKALEIPÄ, SÄMPYLÄ, TILAMAITO, VOI, SÄMPYLÄJAUHO;1068.48000;5.20000;41.16900;45.00200;8.56000;0.00000;1.36300;44.54000
34261;JOGURTTI, MAUSTETTU, JUGUPALA, RASVAA 2,7 %;424.61000;2.68400;16.42000;16.52100;2.58000;0.00000;0.65000;77.56000
31789;KAKKU, MANTELITORTTU, ALMONDY, PAKASTE;1478.05000;22.33500;27.95700;28.78200;9.72000;0.00000;1.99400;37.47000
30317;NAKKI, TUOTEKESKIARVO;975.86000;18.23000;1.16200;1.17100;11.31000;0.00000;2.36400;66.88000
29089;JOGURTTI, JUOTAVA, RASVAA 0,1 %;271.81000;0.10400;12.93200;13.28800;2.63000;0.00000;0.64600;83.33000
35634;KAURAVALMISTE, HAPATETTU, OATLY HAVREGURT, MAUSTAMATON, VITAMINOITU;293.11000;2.27900;9.92900;11.24800;1.73000;0.00000;0.42300;84.32000
30373;MAKSAMAKKARA, MAKSAPASTEIJA, KEVYT, KESKIARVO;615.17000;8.82500;4.02800;4.14000;10.77000;0.00000;2.53400;73.71000
32594;(ARC) PIIMÄ, RASVATON, VL, D-VIT 0,5 UG;141.66000;0.10000;4.90000;4.89800;3.06000;0.00000;0.74000;91.20000
33589;KALA, PAINOTETTU KESKIARVO, KEITETTY, SUOLATON;684.16000;8.69800;0.00000;0.00000;21.31000;0.00000;1.41000;68.49000
32813;KINKKUPIIRAKKA, MUROPOHJA;1017.56000;17.54800;9.96200;10.97400;10.71000;0.00000;1.68700;60.03000
11092;HERAJAUHE, TEOLLISUUDEN RAAKA-AINE;1568.53000;1.07000;78.00000;78.00300;11.94000;0.00000;6.40000;2.59000
176;ROUHE, RUISROUHE;1372.94000;2.52000;57.12900;74.62000;9.63000;0.00000;1.53000;11.70000
576;VOI, SUOLATON;3041.93000;81.30000;0.80000;0.80000;1.19000;0.00000;1.70000;15.01000
32999;KEKSI, TÄYTEKEKSI, SUKLAINEN, MARENKIA, CATAGO CHOCOBIT, LIDL;2173.13000;27.00000;58.00000;62.00300;9.00000;0.00000;1.52000;0.46000
33355;MAKKARAPERUNAT, ILMAN MAUSTEITA, GRILLIRUOKA;1369.43000;22.53400;22.33700;26.98200;6.58000;0.00000;3.39700;47.63000
29103;LIHAPULLA, NAUDANPAISTI, PAISTETTU VOISSA;768.20000;11.49500;6.79400;7.47500;13.15000;0.00000;2.20700;65.64000
1003;RUISPUURO, MAITO, RUISJAUHO, SUOLAA;387.19000;1.69900;13.64400;17.43900;4.28000;0.00000;1.34300;84.58000
32144;PORKKANAOHUKAINEN, TEOLLINEN;672.22000;5.48700;21.77300;22.67700;4.92000;0.00000;1.61200;65.59000
1331;RUISLEIPÄ, RUIS-, HIIVALEIPÄJAUHO, TEOLLINEN;1030.71000;1.48100;45.02100;58.03600;7.70000;0.00000;2.30800;27.77000
31816;RUISLEIPÄ, TOSI RUKIINEN, VAASAN;1066.13000;1.34200;45.34100;51.73000;9.61000;0.00000;2.12000;35.57000
663;JÄÄTELÖ, KERMAJÄÄTELÖ;768.42000;11.00000;17.32000;19.12000;3.94000;0.00000;0.94000;65.00000
30388;MEHU, MEHUJUOMA, OSITTAIN KEINOTEKOISESTI MAKEUTETTU;123.81000;0.07200;6.75800;6.80700;0.28000;0.00000;0.20900;92.63000
1552;POPCORN, RUOKAÖLJY;2073.74000;30.00000;42.98400;55.30000;9.00000;0.00000;2.90000;2.80000
7090;KASSLERPAISTI, UUNISSA;1209.21000;21.07000;0.00000;0.00000;25.27000;0.00000;2.62700;64.22000
5001;MAJONEESI, KOTITEKOINEN;3122.10000;83.35200;0.27000;0.75000;1.61000;0.00000;0.94200;13.35000
32321;MARJAPIIRAKKA, PULLAPOHJA, KEVYTMAITO, FRUKTOOSILLA MAKEUTETTU;933.97000;5.79900;34.70100;36.21600;5.62000;0.00000;0.92700;52.14000
34407;JAUHELIHAPIHVI, NAUDANLIHA, UUNISSA;1001.60000;15.44200;6.49300;7.19200;18.60000;0.00000;1.74200;57.29000
1373;PASTA, SPAGETTI, KEITETTY, SUOLAA;416.42000;0.41300;19.58800;21.46100;3.54000;0.00000;0.70700;52.89000
32336;RAPARPERIPIIRAKKA, PULLAPOHJA, RASVATON MAITO;1022.10000;5.22700;42.03100;42.74900;5.32000;0.00000;0.96700;46.34000
31908;VANUKAS, RIISI-MARJAVANUKAS, RISIFRUTTI;516.77000;4.07000;18.51600;18.91800;2.64000;0.00000;1.04800;73.34000
32397;ATERIASALAATTI, TONNIKALASALAATTI, MAKARONI, VIHERSALAATTI, HERNE-MAISSI-PAPRIKA;283.04000;1.40800;5.83600;7.65900;6.99000;0.00000;1.00500;82.85000
1268;GRAHAM-MARJAPUURO, VESI, PUOLUKKA, SOKERI, SUOLA;292.75000;0.43500;13.33900;15.63100;1.88000;0.00000;0.52900;66.24000
34235;VALKORETIKKA;103.50000;0.03200;4.81800;4.15200;0.44700;0.00000;0.49600;94.87300
7159;LIHAKASTIKE, RUSKEA KASTIKE, NAUDANLIHA, RASVAA;436.65000;6.09500;3.03400;3.28400;9.24000;0.00000;1.21200;82.86000
173;KAURAMAKARONI, SISÄLTÄÄ VEHNÄÄ JA KAURAA;1511.00000;3.70000;65.09100;70.91100;13.00000;0.00000;0.99200;11.40000
33685;PIIMÄ, ASIDOFILUS-BIFIDUS, RASVAA 1,5 %, VL, PROBIOOTTEJA;190.70000;1.50000;4.80000;5.81000;3.00000;0.00000;0.69000;89.00000
29226;PORONKÄRISTYS, VÄHÄRASVAINEN;703.82000;9.02100;0.01100;0.06400;21.76000;0.00000;2.39200;82.37000
28971;DONITSI, SUKLAAKUORRUTUS;1645.26000;16.81600;54.77800;56.44800;4.41000;0.00000;1.41500;19.93000
28918;LUUMU, TUMMA, PUNNITTU KIVINEEN;178.99000;0.27600;7.72800;9.52200;0.69000;0.00000;0.55200;80.96000
161;JAUHO, TATTARISUURIMO TAI -JAUHO;1369.05000;2.00000;60.45000;66.25000;13.00000;0.00000;1.80000;16.95000
3202;KAALI-PERUNAKEITTO, EI LIHAA;79.80000;0.04300;3.50900;4.37300;0.59000;0.00000;1.06200;81.77000
32597;JOGURTTI, MAUSTETTU, RASVATON, LAKTOOSITON, KEINOTEKOISESTI MAKEUTETTU,D-VIT 1UG;138.25000;0.11100;4.78700;5.25400;2.83000;0.00000;0.70900;91.09000
113;MANNASUURIMO, TUMMA;1290.00000;1.10000;59.40000;64.90000;11.50000;0.00000;0.40000;22.10000
11159;CREME FRAICHE, RANSKANKERMA, RASVAA 15-18 %;737.06000;17.00000;3.10000;4.00000;1.88000;0.00000;0.50000;75.40000
33556;JUUSTO, POLAR 15 % RASVAA, VALIO;1085.59000;15.00000;0.00000;0.00000;30.00000;0.00000;3.52000;51.48000
32796;GRILLIMAKKARA, SOIJAPROTEIINIA, KESKIARVO;885.60000;17.48200;2.92500;3.13400;11.03000;0.00000;2.23500;66.07000
33138;SOIJAJUOMA, ALPRO SUKLAA, KALSIUMIA JA VITAMIINEJA;299.00000;1.78700;9.51900;11.25500;3.29000;0.00000;0.65600;83.01000
33424;MAKRILLI, SAVUSTETTU;1250.00000;25.10000;0.00000;0.00000;18.90000;0.00000;1.90000;54.10000
29275;PERUNA-SIPULILAATIKKO, KASVIRASVAKERMA 15 %;451.31000;6.05100;10.57400;12.32400;2.09000;0.00000;1.34300;73.60000
11196;AROMISUOLA/YRTTISUOLA SUOLAPITOISUUS 71 %;312.36000;1.30300;11.72100;15.85100;1.82000;0.00000;78.09000;2.93000
31508;RASVASEOS, JUOKSEVA, 80%, KESKIARVO;2978.53000;80.22900;0.26300;0.26400;0.33000;0.00000;0.78200;18.40000
815;SIIKA;428.61000;2.30000;0.00000;0.00000;20.20700;0.00000;1.40000;77.00000
11158;NUPPUVIHANNES, KUKKAKAALI, PORKKANA, PARSAKAALI;124.37000;0.27000;3.49200;6.77400;1.90000;0.00000;0.85600;90.80000
29209;KUSKUS, KEITETTY, SUOLAA, ÖLJYÄ;739.70000;3.88800;28.77800;33.03200;5.21000;0.00000;0.65700;45.91000
33353;MAKKARAPERUNAT, KAIKILLA MAUSTEILLA, GRILLIRUOKA;1133.67000;18.51200;19.21900;22.78000;5.15000;0.00000;2.77600;52.72000
34234;SIPULI, PUNASIPULI;140.98000;0.11400;5.44700;10.93400;1.50600;0.00000;0.52300;86.92300
29150;MEHU, MEHUJUOMA, PUOLUKKA, LAIMENNETTU;59.51000;0.06000;3.36000;3.33400;0.01000;0.00000;0.04000;96.56000
32628;ATERIANKORVIKE, SMOOTHIE, JUOMAJAUHE, EASY DIET;1420.25000;5.25000;23.00000;36.00000;43.00000;0.00000;;15.75000
32895;PÄHKINÄ, AUSTRALIANPÄHKINÄ, MACADAMIAPÄHKINÄ;3102.30000;75.77000;5.62000;14.22000;7.91000;0.00000;1.14000;0.96000
824;KALA, KESKIARVO, SILAKKA/MUIKKU/AHVEN/HAUKI;412.59000;2.79100;0.00000;0.00000;18.20000;0.00000;1.31700;78.00000
11690;MAJONEESI, VÄHÄRASVAINEN, RASVAA 15 %;693.80000;15.49700;5.39200;5.64300;1.51000;0.00000;1.40700;75.94000
33387;SUSHI, LOHI, ILMAN LEVÄÄ, NIGIRI;626.80000;5.64500;15.39300;16.48400;8.56000;0.00000;0.83600;64.65000
30216;WOK-KASVIKSET, WOKATTU, MAISSI-PORKKANA-HERNE-PARSAKAALI-PAPRIKA-SIENI-PURJO;564.42000;8.72800;9.47800;13.39600;3.08000;0.00000;0.91900;96.87000
1262;PAPPILAN HÄTÄVARA, KERMAA, HILLOA, PIKKULEIPÄÄ;1198.55000;20.84400;22.27500;26.63300;2.28000;0.00000;0.46500;49.73000
33390;MUNAKAS, TAMAGO, JAPANILAINEN MUNAKAS;806.46000;11.73000;12.16600;12.15900;9.74000;0.00000;1.69700;71.40000
31211;KURPITSANSIEMEN;2469.66000;48.00000;2.88000;6.30000;35.10000;0.00000;4.80000;5.80000
32403;DIPPIKASTIKEJAUHE, SISÄLTÄÄ MAITOA, KASTIKEAINEKSET;1289.92000;2.95200;54.59100;69.97200;7.12000;0.00000;7.57500;12.35000
30443;TUOREJUUSTO, RASVAA 15 %, MAUSTETTU, CREME BONJOUR LIGHT;734.76000;15.00000;2.30000;2.30000;7.60000;0.00000;1.41500;74.46000
31553;MAITO, KEVYTMAITO, LAKTOOSITON MAITOJUOMA, EI LISÄTTY D-VITAMIINIA, LUOMU;161.80000;1.50000;3.10000;3.10000;3.00000;0.00000;0.69000;91.71000
33885;RAHKA, MAUSTETTU, PROFEEL PROTEIINIRAHKA, LAKTOOSITON;349.90000;0.08200;9.24200;9.32400;11.00000;0.00000;1.07300;78.52000
1287;VEHNÄVELLI, VESI, VEHNÄHIUTALE, SUOLAA;87.21000;0.13700;3.65000;4.43900;0.81000;0.00000;0.65800;73.25000
30347;RIISI, PITKÄJYVÄINEN, KASVISLIEMESSÄ, KEITETTY;470.81000;0.55800;23.70600;23.55300;2.53000;0.00000;0.67600;56.55000
307;ETIKKAPUNAJUURI;149.00000;0.20000;6.70000;10.30000;1.00000;0.00000;1.60000;87.00000
34607;JOGURTTI, MAUSTETTU, RAHKAINEN JOGURTTI, VALIO, RASVAA 1,7 %, VL;344.39000;1.71400;10.29800;11.65000;5.20000;0.00000;0.72100;80.70000
34219;NAUDANLIHA E-LAJITELMA, NAUDAN KASTIKELIHA, KEITETTY, SUOLATON;573.21000;2.71300;0.00000;0.00000;27.81000;0.00000;1.21700;74.05000
33060;PAPAIJA, KUIVATTU;1128.79000;0.93000;57.60000;62.60000;4.04000;0.00000;3.40000;29.03000
33140;MURO, RIISI-VEHNÄHIUTALE JOGURTTI, KELLOGGS ALL-BRAN YOGHURTY, VITAMINOITU;1552.40000;4.27700;65.34500;77.98900;10.60000;0.00000;1.36800;5.77000
34810;JAUHELIHAKASTIKE, SIKA-NAUTA, RUOANVALMISTUKERMA;1071.34000;21.84700;1.98500;2.12300;12.10000;0.00000;1.50400;62.41000
305;PUNAJUURI;186.10000;0.10000;8.00000;11.50000;1.40000;0.00000;0.80000;86.20000
33203;KAALIKÄÄRYLE, ATRIA;514.31000;4.19300;16.62500;18.32800;3.60000;0.00000;1.69600;72.18000
32234;JAUHELIHAKASTIKE, TOMAATTINEN, NAUDANPAISTI, SUURUSTAMATON;448.70000;5.10800;2.33400;5.31300;12.20000;0.00000;1.85500;80.26000
32506;JAUHELIHAKASTIKE, TOMAATTINEN, NAUDANLIHA 7 %, KASTIKEJAUHEESTA;521.66000;4.87200;6.75500;7.16500;13.04000;0.00000;1.72800;73.15000
31572;KÄÄRETORTUN POHJA, GLUTEENITON;1156.19000;5.11000;49.21500;49.79600;7.59000;0.00000;1.43700;35.52000
743;LIHASÄILYKE, SIKA-NAUTA;1053.82000;18.78800;5.00000;5.00000;16.10000;0.00000;2.50000;57.61000
30356;MAKARONI, KEITETTY, SUOLATON;425.19000;0.33000;19.92000;20.92800;3.90000;0.00000;0.24500;75.44000
34698;TÄYTETTY LEIPÄ, PATONKI, KINKKU, JUUSTO, PAPRIKA, SALAATTI;1029.77000;11.11400;23.59500;24.59500;11.89000;0.00000;2.42300;49.63000
